t	x	u
0.000000	0.000000	1.000000
0.000000	0.100000	0.951059
0.000000	0.200000	0.809028
0.000000	0.300000	0.587808
0.000000	0.400000	0.309052
0.000000	0.500000	0.000046
0.000000	0.600000	-0.308964
0.000000	0.700000	-0.587733
0.000000	0.800000	-0.808973
0.000000	0.900000	-0.951031
0.000000	1.000000	-1.000000
0.000000	1.100000	-0.951088
0.000000	1.200000	-0.809082
0.100000	0.000000	0.904837
0.100000	0.100000	1.020000
0.100000	0.200000	0.981059
0.100000	0.300000	0.849028
0.100000	0.400000	0.637808
0.100000	0.500000	0.369052
0.100000	0.600000	0.070046
0.100000	0.700000	-0.228964
0.100000	0.800000	-0.497733
0.100000	0.900000	-0.708973
0.100000	1.000000	-0.841031
0.100000	1.100000	-0.880000
0.100000	1.200000	-0.821088
0.200000	0.000000	0.818731
0.200000	0.100000	0.934837
0.200000	0.200000	1.060000
0.200000	0.300000	1.031059
0.200000	0.400000	0.909028
0.200000	0.500000	0.707808
0.200000	0.600000	0.449052
0.200000	0.700000	0.160046
0.200000	0.800000	-0.128964
0.200000	0.900000	-0.387733
0.200000	1.000000	-0.588973
0.200000	1.100000	-0.711031
0.200000	1.200000	-0.740000
0.300000	0.000000	0.740818
0.300000	0.100000	0.858731
0.300000	0.200000	0.984837
0.300000	0.300000	1.120000
0.300000	0.400000	1.101059
0.300000	0.500000	0.989028
0.300000	0.600000	0.797808
0.300000	0.700000	0.549052
0.300000	0.800000	0.270046
0.300000	0.900000	-0.008964
0.300000	1.000000	-0.257733
0.300000	1.100000	-0.448973
0.300000	1.200000	-0.561031
0.400000	0.000000	0.670320
0.400000	0.100000	0.790818
0.400000	0.200000	0.918731
0.400000	0.300000	1.054837
0.400000	0.400000	1.200000
0.400000	0.500000	1.191059
0.400000	0.600000	1.089028
0.400000	0.700000	0.907808
0.400000	0.800000	0.669052
0.400000	0.900000	0.400046
0.400000	1.000000	0.131036
0.400000	1.100000	-0.107733
0.400000	1.200000	-0.288973
0.500000	0.000000	0.606531
0.500000	0.100000	0.730320
0.500000	0.200000	0.860818
0.500000	0.300000	0.998731
0.500000	0.400000	1.144837
0.500000	0.500000	1.300000
0.500000	0.600000	1.301059
0.500000	0.700000	1.209028
0.500000	0.800000	1.037808
0.500000	0.900000	0.809052
0.500000	1.000000	0.550046
0.500000	1.100000	0.291036
0.500000	1.200000	0.062267
0.600000	0.000000	0.548812
0.600000	0.100000	0.676531
0.600000	0.200000	0.810320
0.600000	0.300000	0.950818
0.600000	0.400000	1.098731
0.600000	0.500000	1.254837
0.600000	0.600000	1.420000
0.600000	0.700000	1.431059
0.600000	0.800000	1.349028
0.600000	0.900000	1.187808
0.600000	1.000000	0.969052
0.600000	1.100000	0.720046
0.600000	1.200000	0.471036
0.700000	0.000000	0.496585
0.700000	0.100000	0.628812
0.700000	0.200000	0.766531
0.700000	0.300000	0.910320
0.700000	0.400000	1.060818
0.700000	0.500000	1.218731
0.700000	0.600000	1.384837
0.700000	0.700000	1.560000
0.700000	0.800000	1.581059
0.700000	0.900000	1.509028
0.700000	1.000000	1.357808
0.700000	1.100000	1.149052
0.700000	1.200000	0.910046
0.800000	0.000000	0.449329
0.800000	0.100000	0.586585
0.800000	0.200000	0.728812
0.800000	0.300000	0.876531
0.800000	0.400000	1.030320
0.800000	0.500000	1.190818
0.800000	0.600000	1.358731
0.800000	0.700000	1.534837
0.800000	0.800000	1.720000
0.800000	0.900000	1.751059
0.800000	1.000000	1.689028
0.800000	1.100000	1.547808
0.800000	1.200000	1.349052
0.900000	0.000000	0.406570
0.900000	0.100000	0.549329
0.900000	0.200000	0.696585
0.900000	0.300000	0.848812
0.900000	0.400000	1.006531
0.900000	0.500000	1.170320
0.900000	0.600000	1.340818
0.900000	0.700000	1.518731
0.900000	0.800000	1.704837
0.900000	0.900000	1.900000
0.900000	1.000000	1.941059
0.900000	1.100000	1.889028
0.900000	1.200000	1.757808
1.000000	0.000000	0.367879
1.000000	0.100000	0.516570
1.000000	0.200000	0.669329
1.000000	0.300000	0.826585
1.000000	0.400000	0.988812
1.000000	0.500000	1.156531
1.000000	0.600000	1.330320
1.000000	0.700000	1.510818
1.000000	0.800000	1.698731
1.000000	0.900000	1.894837
1.000000	1.000000	2.100000
1.000000	1.100000	2.151059
1.000000	1.200000	2.109028
1.100000	0.000000	0.332871
1.100000	0.100000	0.487879
1.100000	0.200000	0.646570
1.100000	0.300000	0.809329
1.100000	0.400000	0.976585
1.100000	0.500000	1.148812
1.100000	0.600000	1.326531
1.100000	0.700000	1.510320
1.100000	0.800000	1.700818
1.100000	0.900000	1.898731
1.100000	1.000000	2.104837
1.100000	1.100000	2.320000
1.100000	1.200000	2.381059
1.200000	0.000000	0.301194
1.200000	0.100000	0.462871
1.200000	0.200000	0.627879
1.200000	0.300000	0.796570
1.200000	0.400000	0.969329
1.200000	0.500000	1.146585
1.200000	0.600000	1.328812
1.200000	0.700000	1.516531
1.200000	0.800000	1.710320
1.200000	0.900000	1.910818
1.200000	1.000000	2.118731
1.200000	1.100000	2.334837
1.200000	1.200000	2.560000
1.300000	0.000000	0.272532
1.300000	0.100000	0.441194
1.300000	0.200000	0.612871
1.300000	0.300000	0.787879
1.300000	0.400000	0.966570
1.300000	0.500000	1.149329
1.300000	0.600000	1.336585
1.300000	0.700000	1.528812
1.300000	0.800000	1.726531
1.300000	0.900000	1.930320
1.300000	1.000000	2.140818
1.300000	1.100000	2.358731
1.300000	1.200000	2.584837
1.400000	0.000000	0.246597
1.400000	0.100000	0.422532
1.400000	0.200000	0.601194
1.400000	0.300000	0.782871
1.400000	0.400000	0.967879
1.400000	0.500000	1.156570
1.400000	0.600000	1.349329
1.400000	0.700000	1.546585
1.400000	0.800000	1.748812
1.400000	0.900000	1.956531
1.400000	1.000000	2.170320
1.400000	1.100000	2.390818
1.400000	1.200000	2.618731
1.500000	0.000000	0.223130
1.500000	0.100000	0.406597
1.500000	0.200000	0.592532
1.500000	0.300000	0.781194
1.500000	0.400000	0.972871
1.500000	0.500000	1.167879
1.500000	0.600000	1.366570
1.500000	0.700000	1.569329
1.500000	0.800000	1.776585
1.500000	0.900000	1.988812
1.500000	1.000000	2.206531
1.500000	1.100000	2.430320
1.500000	1.200000	2.660818
1.600000	0.000000	0.201897
1.600000	0.100000	0.393130
1.600000	0.200000	0.586597
1.600000	0.300000	0.782532
1.600000	0.400000	0.981194
1.600000	0.500000	1.182871
1.600000	0.600000	1.387879
1.600000	0.700000	1.596570
1.600000	0.800000	1.809329
1.600000	0.900000	2.026585
1.600000	1.000000	2.248812
1.600000	1.100000	2.476531
1.600000	1.200000	2.710320
1.700000	0.000000	0.182684
1.700000	0.100000	0.381897
1.700000	0.200000	0.583130
1.700000	0.300000	0.786597
1.700000	0.400000	0.992532
1.700000	0.500000	1.201194
1.700000	0.600000	1.412871
